especie;altura estipite;altura total;tipologia;ug;barrio;distrito;Elemento;fecha  plantacion;marras;x;y;Crecimiento medio (m);media del est°pte (m);Altura media ambiente urbano (m);Varianza altura (m);varianza est°pite (m);desviacion estandar;CV
Chamaerops humilis;0.5;1.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";;;240371.77;4142461.29;;;;;;;
Chamaerops humilis;0.5;1.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";;;240372.72;4142462.27;;;;;;;
Chamaerops humilis;0.5;1.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";;;240373.81;4142463.72;;;;;;;
Chamaerops humilis;0.5;1.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";;;240372.93;4142460.52;;;;;;;
Chamaerops humilis;0.5;1.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";;;240373.77;4142461.62;;;;;;;
Chamaerops humilis;0.5;1.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";;;240374.47;4142462.93;;;;;;;
Chamaerops humilis;0.5;1.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";;;240374.85;4142461.08;;;;;;;
Chamaerops humilis;;0.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";"12/12/2018
12:00:00 AM";;240662.06;4142523.54;;;;;;;
Chamaerops humilis;;0.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";"12/12/2018
12:00:00 AM";;240659.68;4142526.16;;;;;;;
Chamaerops humilis;;0.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";"12/12/2018
12:00:00 AM";;240659.52;4142523.95;;;;;;;
Chamaerops humilis;;0.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";"12/12/2018
12:00:00 AM";;240657.08;4142525.95;;;;;;;
Chamaerops humilis;;0.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";"12/12/2018
12:00:00 AM";;240657.17;4142527.93;;;;;;;
Chamaerops humilis;;0.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";"12/12/2018
12:00:00 AM";;240670.94;4142541.2;;;;;;;
Chamaerops humilis;;0.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";"12/12/2018
12:00:00 AM";;240669.82;4142545.14;;;;;;;
Chamaerops humilis;;0.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";"12/12/2018
12:00:00 AM";;240666.26;4142545.49;;;;;;;
Chamaerops humilis;;0.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";"12/12/2018
12:00:00 AM";;240593.2;4142326.76;;;;;;;
Chamaerops humilis;;0.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";"12/12/2018
12:00:00 AM";;240575.7;4142382.46;;;;;;;
Chamaerops humilis;;0.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";"12/12/2018
12:00:00 AM";;240570.78;4142379.9;;;;;;;
